initialSize:10000, elitism:45mutation:35
256,211.932,48-22-37-20-2-28-0-12-19-44-16-1-47-64-26-8-57-14-15-58-35-27-49-43-9-17-56-13-51-32-21-63-10-33-54-45-25-65-66-42-6-30-52-36-38-61-50-34-67-7-62-3-11-31-18-59-24-29-40-5-53-46-23-60-39-41-4-55-
256,200.358,12-3-47-1-8-7-57-16-44-14-62-15-23-19-58-49-43-9-17-56-32-13-51-21-30-27-35-36-52-38-61-50-34-67-26-64-53-48-22-5-40-10-65-25-33-45-54-66-42-6-63-37-28-59-55-11-4-18-29-24-20-2-60-31-41-39-0-46-
256,202.392,39-59-48-0-53-46-55-4-18-22-24-40-29-11-60-23-2-20-30-21-13-51-32-56-17-9-43-37-66-42-6-65-33-54-45-25-10-63-5-41-62-27-49-36-61-38-50-52-34-67-26-16-7-14-35-58-57-8-44-64-3-15-1-47-19-12-31-28-
256,174.822,0-55-31-41-11-60-23-20-2-39-18-48-22-4-28-59-24-5-29-40-37-66-63-10-65-25-54-45-33-42-6-21-13-9-17-56-32-51-30-27-49-43-52-36-50-38-61-34-67-57-44-26-16-8-58-35-7-14-64-47-1-15-62-3-19-46-12-53-
256,189.091,12-53-47-64-19-3-1-62-15-27-49-58-35-7-44-26-16-8-52-36-38-61-50-34-67-57-14-43-30-56-13-9-17-32-51-21-37-6-66-63-10-65-25-54-33-45-42-20-24-29-5-40-28-22-59-18-48-39-4-55-31-41-2-11-0-60-23-46-
256,208.077,22-48-18-41-55-53-46-28-24-5-40-63-10-6-45-54-33-65-25-42-66-37-29-20-2-11-0-23-12-62-30-21-51-13-56-32-17-9-43-49-38-61-36-34-50-67-52-64-16-35-14-26-44-8-57-7-27-58-15-19-1-47-3-60-31-39-4-59-
256,162.306,0-23-60-20-2-41-11-31-55-39-59-4-18-48-22-28-5-40-24-29-37-66-6-63-10-65-25-54-45-33-42-32-51-21-30-13-56-17-9-43-61-38-50-34-36-52-67-49-27-35-58-7-14-57-8-16-26-44-64-1-47-19-3-15-62-46-12-53-
256,169.242,60-23-0-46-53-12-3-19-47-62-15-64-44-1-58-35-14-26-16-57-8-7-27-49-67-34-61-38-50-52-36-43-9-17-56-13-51-32-21-30-37-66-63-6-42-33-45-54-25-65-10-5-48-22-24-29-40-20-2-55-4-28-59-18-39-41-31-11-
256,191.864,3-46-12-19-64-1-26-8-16-44-57-35-58-15-49-27-7-14-38-61-50-34-67-52-36-43-51-32-56-17-9-13-30-21-20-39-4-55-28-24-29-40-5-10-33-45-54-25-65-63-66-6-42-37-41-11-0-2-31-59-22-48-18-53-60-23-62-47-
initialSize:30000, elitism:45mutation:40
278,170.014,19-12-46-53-0-11-2-20-60-23-41-31-4-55-39-18-48-22-59-28-5-24-29-40-63-37-66-6-10-65-25-54-33-45-42-21-51-32-56-17-9-13-43-36-52-34-50-38-61-67-7-35-49-27-58-14-57-8-44-16-26-64-1-15-30-62-47-3-
278,201.402,8-3-47-12-46-53-0-39-22-18-4-28-59-48-2-11-23-30-21-51-32-17-9-56-13-43-61-38-50-34-36-52-67-20-63-66-6-65-33-54-42-45-25-10-37-5-24-40-29-41-55-31-60-62-15-58-27-49-35-7-14-64-19-1-26-57-16-44-
